"","n","ATEests_1_1_coef_est_Intercept","ATEests_1_1_coef_est_Z21","ATEests_1_1_coef_est_Z31","ATEests_1_1_coef_se_Intercept","ATEests_1_1_coef_se_Z21","ATEests_1_1_coef_se_Z31","ATEests_1_1_G_est_treat0","ATEests_1_1_G_est_treat1","ATEests_1_1_G_est_treat:1-0","ATEests_1_1_G_se_treat0","ATEests_1_1_G_se_treat1","ATEests_1_1_G_se_treat:1-0","ATEests_1_1_DR_est_treat0","ATEests_1_1_DR_est_treat1","ATEests_1_1_DR_est_treat:1-0","ATEests_1_1_DR_se_treat0","ATEests_1_1_DR_se_treat1","ATEests_1_1_DR_se_treat:1-0","ATEests_1_2_coef_est_Intercept","ATEests_1_2_coef_est_Z21","ATEests_1_2_coef_est_Z31","ATEests_1_2_coef_se_Intercept","ATEests_1_2_coef_se_Z21","ATEests_1_2_coef_se_Z31","ATEests_1_2_G_est_treat0","ATEests_1_2_G_est_treat1","ATEests_1_2_G_est_treat:1-0","ATEests_1_2_G_se_treat0","ATEests_1_2_G_se_treat1","ATEests_1_2_G_se_treat:1-0","ATEests_1_2_DR_est_treat0","ATEests_1_2_DR_est_treat1","ATEests_1_2_DR_est_treat:1-0","ATEests_1_2_DR_se_treat0","ATEests_1_2_DR_se_treat1","ATEests_1_2_DR_se_treat:1-0","ATEests_2_1_coef_est_Intercept","ATEests_2_1_coef_est_Z21","ATEests_2_1_coef_est_Z31","ATEests_2_1_coef_se_Intercept","ATEests_2_1_coef_se_Z21","ATEests_2_1_coef_se_Z31","ATEests_2_1_G_est_treat0","ATEests_2_1_G_est_treat1","ATEests_2_1_G_est_treat:1-0","ATEests_2_1_G_se_treat0","ATEests_2_1_G_se_treat1","ATEests_2_1_G_se_treat:1-0","ATEests_2_1_DR_est_treat0","ATEests_2_1_DR_est_treat1","ATEests_2_1_DR_est_treat:1-0","ATEests_2_1_DR_se_treat0","ATEests_2_1_DR_se_treat1","ATEests_2_1_DR_se_treat:1-0","ATEests_2_2_coef_est_Intercept","ATEests_2_2_coef_est_Z21","ATEests_2_2_coef_est_Z31","ATEests_2_2_coef_se_Intercept","ATEests_2_2_coef_se_Z21","ATEests_2_2_coef_se_Z31","ATEests_2_2_G_est_treat0","ATEests_2_2_G_est_treat1","ATEests_2_2_G_est_treat:1-0","ATEests_2_2_G_se_treat0","ATEests_2_2_G_se_treat1","ATEests_2_2_G_se_treat:1-0","ATEests_2_2_DR_est_treat0","ATEests_2_2_DR_est_treat1","ATEests_2_2_DR_est_treat:1-0","ATEests_2_2_DR_se_treat0","ATEests_2_2_DR_se_treat1","ATEests_2_2_DR_se_treat:1-0"
"757",800,-1.185649605666,0.500196584600128,-0.157072274820922,0.173786158665717,0.200385223768326,0.198705447056133,0.220617790601761,0.318109369204007,0.0974915786022459,0.0259126230085403,0.0284661964703001,0.0385332242322724,0.221550410936722,0.31884907537352,0.0972986644367976,0.0259461632018197,0.0284831600397455,0.0385344434721332,-1.185649605666,0.500196584600128,-0.157072274820922,0.174615151991864,0.192375757982196,0.196473901893452,0.220617790601761,0.318109369204007,0.0974915786022459,0.0540250985831516,0.0576058340661117,0.0736174594794131,0.221550410936722,0.31884907537352,0.0972986644367977,0.0541848919548633,0.0576632465865413,0.073620261644142,-1.18269278749104,0.492361681505844,-0.16358687046413,0.180312457622207,0.201675853351764,0.198462899858123,0.220594042329111,0.316373889539167,0.0957798472100554,0.0265447266432888,0.0279385473574217,0.0385371697894397,0.221673978996933,0.317111630585006,0.0954376515880729,0.0268902344450675,0.0286200857077942,0.0399429168681621,-1.18269278749104,0.492361681505844,-0.16358687046413,0.181250117593565,0.194053192737687,0.195795909865631,0.220594042329111,0.316373889539167,0.0957798472100554,0.0552296055342316,0.0568399216895022,0.0738182280463947,0.221673978996933,0.317111630585006,0.0954376515880729,0.0555747947933484,0.0582398431173215,0.0762841034272066
"758",800,-0.892031676079857,0.0727186421231735,-0.272122485863783,0.172981508253557,0.201380067791054,0.201268420908959,0.263840202539949,0.278151367454739,0.0143111649147897,0.028843887317151,0.0271296455146529,0.0395703798050774,0.263862861258672,0.278170662982687,0.0143078017240149,0.0288336995301282,0.027131690225964,0.039569033264767,-0.892031676079857,0.0727186421231735,-0.272122485863783,0.174509047578366,0.190030526906945,0.191130771603706,0.263840202539949,0.278151367454739,0.0143111649147897,0.0583387591006038,0.052568751748027,0.0746106584242017,0.263862861258672,0.278170662982687,0.0143078017240149,0.0583063497700149,0.0525670610221147,0.074607187141273,-0.882272415566036,0.0824928001395641,-0.266295659769003,0.171062053197737,0.204951926272157,0.207565271208463,0.266274295290788,0.282639597113638,0.01636530182285,0.027877230003893,0.0296528158066803,0.0406894220253029,0.257246273024032,0.291194550156689,0.033948277132657,0.0286859984864164,0.0301518076852746,0.0424530285037694,-0.882272415566036,0.0824928001395641,-0.266295659769003,0.172247204356333,0.193777728601051,0.196798199735674,0.266274295290788,0.282639597113638,0.01636530182285,0.0565136215104447,0.0573204258013942,0.0768721839791058,0.257246273024032,0.291194550156689,0.033948277132657,0.0578834599017873,0.0581733090563549,0.0800689466437564
"759",800,-0.794617071118119,0.195497356790514,-0.708041376297592,0.196922753822017,0.245378943641763,0.252130759302098,0.246603757991693,0.283753699604893,0.0371499416132003,0.0304699615832393,0.0357013757539954,0.046806473909699,0.246716859820581,0.283853007233805,0.0371361474132236,0.0304655193844832,0.0356903112649315,0.0468072909168707,-0.794617071118119,0.195497356790514,-0.708041376297592,0.204216637290932,0.237194195484215,0.263565280570236,0.246603757991693,0.283753699604893,0.0371499416132003,0.0637512188701185,0.0732874847066275,0.0904130432015447,0.246716859820581,0.283853007233805,0.0371361474132236,0.0637110887776232,0.0732280119401868,0.0904168741814001,-0.833441090203534,0.237972871322926,-0.716924266571119,0.188699954022595,0.244587834806814,0.256503129257815,0.238975733656632,0.283733973524241,0.0447582398676093,0.0291959682602239,0.0362911397961925,0.0462973090143526,0.237305614819227,0.285562634634203,0.0482570198149762,0.0297959775211521,0.0372729820497891,0.0485945681514858,-0.833441090203534,0.237972871322926,-0.716924266571119,0.19459065000339,0.235405045842962,0.266336130770961,0.238975733656632,0.283733973524241,0.0447582398676092,0.0611171808689578,0.0744456149293812,0.0890552276774698,0.237305614819227,0.285562634634203,0.0482570198149762,0.0614342088496035,0.076063837065771,0.0923605944207991
"760",800,-0.955924585044107,0.0988351611663058,-0.348074922225959,0.164601831944724,0.202057182175457,0.204130980121472,0.247279097597623,0.266021782761704,0.0187426851640807,0.025772192713733,0.0285035374748853,0.0383706320204488,0.246817855541981,0.265579415061278,0.0187615595192969,0.0257566176858118,0.0284819969383711,0.0383708331261956,-0.955924585044107,0.0988351611663059,-0.348074922225959,0.166397055522659,0.197912871555919,0.20746424238345,0.247279097597623,0.266021782761704,0.0187426851640807,0.0519371117160904,0.0577874762033817,0.0751942210815951,0.246817855541981,0.265579415061278,0.0187615595192969,0.0519237282664559,0.0577997204501052,0.07519625731898,-0.932089441228073,0.0726303565616506,-0.348438810724783,0.164726102872651,0.204412945864163,0.205335468982652,0.25168797872129,0.265531491199796,0.0138435124785057,0.0261241679723031,0.0290648820542212,0.0390088310524766,0.250504545676186,0.265581153356521,0.0150766076803359,0.026633218024404,0.02944373415346,0.0403721063584755,-0.932089441228073,0.0726303565616506,-0.348438810724783,0.166883445159492,0.200737362646546,0.210096939729521,0.25168797872129,0.265531491199796,0.0138435124785057,0.0526790518598915,0.0589900054534709,0.0766347314689357,0.250504545676186,0.265581153356521,0.0150766076803359,0.0537388877184032,0.0598114775332087,0.0795296722915518
"761",800,-0.963082039205335,0.577053972889251,-0.371634392967055,0.175130279765292,0.23246039425059,0.233742052265132,0.242490616147673,0.362127706614395,0.119637090466721,0.0320230436938171,0.0341639392789302,0.046994219523816,0.241893438404393,0.36146809000734,0.119574651602947,0.0322689713837177,0.034187611425821,0.0469781733750723,-0.963082039205335,0.577053972889251,-0.371634392967055,0.177349792729332,0.238001114891406,0.233019800656616,0.242490616147673,0.362127706614395,0.119637090466721,0.0646709214643044,0.0717017314766995,0.0966768872531275,0.241893438404393,0.36146809000734,0.119574651602947,0.0650803132038502,0.0718867637961858,0.0966629452991428,-0.976746127884902,0.574487696671932,-0.356582593637759,0.191366371788159,0.232142228225236,0.22991120652377,0.241235915829549,0.360038576654492,0.118802660824943,0.0336821973745087,0.0314691565447811,0.0461790198767685,0.256005430432057,0.342735148112627,0.0867297176805699,0.0344608635439683,0.0327142440565785,0.0486060555664065,-0.976746127884902,0.574487696671932,-0.356582593637759,0.194520346589745,0.236986940414554,0.229512372092077,0.241235915829549,0.360038576654492,0.118802660824943,0.0681076300239046,0.0660816560043557,0.0946951621743899,0.256005430432057,0.342735148112627,0.0867297176805699,0.0687124482463228,0.068746476951148,0.0982649686607678
"762",800,-0.86653228095939,0.161578464130582,-0.259638297848074,0.174676860230571,0.209055528858963,0.209570623119974,0.270103012459772,0.302995050196254,0.0328920377364818,0.0298486402089167,0.0302226744258347,0.0424685165373511,0.270181708473571,0.303076184103935,0.0328944756303632,0.0298647432136271,0.0302191977893997,0.042468089986698,-0.86653228095939,0.161578464130582,-0.259638297848074,0.178627823593489,0.207697324460248,0.208994500347668,0.270103012459772,0.302995050196254,0.0328920377364818,0.0605481003851623,0.0619095493740101,0.0844265778266829,0.270181708473571,0.303076184103935,0.0328944756303632,0.0605051901832748,0.0619272399480119,0.0844293103085456,-0.858653758699996,0.160288191836399,-0.260043820123767,0.175406623398345,0.211319022188211,0.21293396802878,0.271615771603695,0.304342126633635,0.0327263550299403,0.0293229142972129,0.0317428109416033,0.0431775791948309,0.268800880065312,0.307126575476226,0.0383256954109138,0.0302861728942132,0.0324630184785834,0.0455429491639154,-0.858653758699996,0.160288191836399,-0.260043820123767,0.178436052822001,0.210329786301058,0.212621554410537,0.271615771603695,0.304342126633635,0.0327263550299402,0.0594615219082535,0.0653098177532098,0.0860156618898244,0.268800880065312,0.307126575476226,0.0383256954109138,0.0606965611410956,0.065994309711717,0.0888390983644834
"763",800,-0.992059715171488,0.418858500458948,-0.291271014780125,0.17848863160262,0.209225478686196,0.210397146759152,0.241938259709526,0.32628902540478,0.0843507656952547,0.0268478755987441,0.0326302083976497,0.0422738241683857,0.242326210980701,0.326662905904462,0.0843366949237614,0.0268239589188844,0.0326976441908918,0.0422712779561368,-0.992059715171488,0.418858500458948,-0.291271014780125,0.182780530529833,0.205745403952013,0.219112818273413,0.241938259709526,0.32628902540478,0.0843507656952547,0.0523981929735699,0.0662560754923879,0.083502721554558,0.242326210980701,0.326662905904462,0.0843366949237614,0.0522651733041917,0.0662947455230406,0.0834945791711843,-0.963076226001744,0.370877011732435,-0.311022244623071,0.180221827637031,0.204655893867968,0.206250635818142,0.245462001959123,0.319973399424983,0.0745113974658594,0.0266424497407533,0.0315070941572609,0.0411593638020743,0.240945261647548,0.324602339027959,0.0836570773804116,0.0271630622720283,0.0323423896861711,0.043115287882709,-0.963076226001744,0.370877011732435,-0.311022244623071,0.184661534970658,0.199973111207628,0.21596930978523,0.245462001959123,0.319973399424983,0.0745113974658594,0.0520410233898975,0.0637765014062551,0.0807184946880102,0.240945261647548,0.324602339027959,0.0836570773804116,0.0534435701814194,0.0652458548065686,0.0850824747980712
"764",800,-0.856358004779943,0.187819156801048,-0.325417787940993,0.17260902405865,0.196651279858387,0.196510524636708,0.266971407109589,0.305078747689035,0.0381073405794457,0.0289035007019948,0.0272193937555237,0.0396761556870862,0.266841175882418,0.304937928309139,0.0380967524267216,0.0289022293087694,0.0272321774031702,0.0396768859256829,-0.856358004779943,0.187819156801048,-0.325417787940994,0.176069416553069,0.19099986142604,0.193747255453927,0.266971407109589,0.305078747689035,0.0381073405794458,0.0579092351416748,0.0593720508494872,0.0773660890051108,0.266841175882418,0.304937928309139,0.0380967524267216,0.0580145269045061,0.0594367750015522,0.0773596253678184,-0.85293351417311,0.168209643640144,-0.312496654761279,0.176221226714217,0.194705432413844,0.195033439495799,0.268784860738516,0.302923071344444,0.0341382106059274,0.0282857594407927,0.0276781937387501,0.0394004107483558,0.263880489976857,0.307331797930514,0.0434513079536573,0.0289307664526314,0.0280100406281387,0.0408719646442054,-0.85293351417311,0.168209643640144,-0.312496654761279,0.179505096784009,0.189416595559715,0.192131134425955,0.268784860738516,0.302923071344444,0.0341382106059274,0.0566376579760726,0.0603518600442731,0.0769428609447879,0.263880489976857,0.307331797930514,0.0434513079536573,0.0582171575519339,0.0610569398719145,0.080279826193155
"765",800,-1.01616385775016,0.0647766634445231,-0.109736775532051,0.175508421028024,0.199505952532911,0.199883570461018,0.255372933855518,0.267877215404547,0.0125042815490289,0.0269093861525301,0.0275271210300746,0.0385120683494708,0.255558815119828,0.268042088804469,0.0124832736846417,0.0269160380712428,0.0275403644092687,0.0385113793133167,-1.01616385775016,0.0647766634445231,-0.109736775532051,0.184500158464091,0.203144543039299,0.20212546229575,0.255372933855518,0.267877215404547,0.0125042815490289,0.0572892843485235,0.0572696322239459,0.0784021552269006,0.255558815119828,0.268042088804469,0.0124832736846417,0.0573079825466279,0.0573645184306296,0.0783936863768962,-1.01190024213596,0.0647029230990041,-0.110260721475978,0.178349519031273,0.200563881256487,0.201096409258188,0.256135647859838,0.268649236089461,0.0125135882296228,0.0267546982356107,0.0280878894455829,0.0388057876963231,0.25288354886171,0.272117084848618,0.0192335359869075,0.0272349004684928,0.0285583068174759,0.0400878264913279,-1.01190024213596,0.064702923099004,-0.110260721475978,0.186704867720672,0.204148562354914,0.20330314433083,0.256135647859838,0.268649236089461,0.0125135882296228,0.0568589575950915,0.0583733440646116,0.0789748321076689,0.25288354886171,0.272117084848618,0.0192335359869075,0.0572843169428955,0.0593421120300225,0.0808168984001131
"766",800,-0.84551311870994,-0.0550616200592409,-0.264693666095472,0.162166328055325,0.195919258654946,0.196686880597534,0.274957451574303,0.264154197628181,-0.0108032539461218,0.02783126682275,0.0265527648206664,0.0384558715143385,0.275037116534599,0.264224772995143,-0.0108123435394554,0.0278378218505773,0.0265588775309013,0.0384558677395008,-0.84551311870994,-0.0550616200592409,-0.264693666095472,0.168902185150812,0.20491726609152,0.194356627534153,0.274957451574303,0.264154197628181,-0.0108032539461218,0.0601634782439749,0.0550286921070608,0.0804930737083324,0.275037116534599,0.264224772995143,-0.0108123435394554,0.0601263229031996,0.0550238847656943,0.0804891366551791,-0.851764991619945,-0.0430061370923513,-0.249159355854124,0.170398273906685,0.197294703622529,0.196660723168092,0.275119050513295,0.266651393192585,-0.00846765732071053,0.0290092660894763,0.0258881099348833,0.0388854923475181,0.283576786285613,0.258832457778466,-0.0247443285071476,0.0295894036400965,0.0264152861812451,0.0404090802341845,-0.851764991619945,-0.0430061370923513,-0.249159355854124,0.177624976769401,0.207268204560208,0.193174642835636,0.275119050513295,0.266651393192585,-0.00846765732071053,0.0628815387086459,0.0538012694390297,0.0817417967442823,0.283576786285613,0.258832457778466,-0.0247443285071476,0.0641712046477393,0.0548172463891074,0.0850503244882527
